timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597757311579,82397,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757312580,93734,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757313581,93190,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757314581,91069,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757315582,91116,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757316583,89759,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757317583,88874,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757318585,85189,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757319588,88005,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757320588,86107,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757321589,87814,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757322590,87295,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757323591,83944,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757324591,84528,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757325591,85208,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757326592,84749,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757327592,85642,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757328593,84576,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757329600,85031,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757330600,86040,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757331601,86489,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757332602,85138,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757333607,86775,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757334608,85157,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597757335609,86128,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
