timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597758172366,10201,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758173367,23275,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758174367,22727,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758175368,19467,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758176368,19704,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758177368,20263,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758178369,19323,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758179369,18213,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758180369,16451,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758181370,16257,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758182370,28797,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758183370,19343,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758184371,21454,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758185371,17136,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758186371,27227,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758187371,17061,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758188372,24785,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758189372,14898,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758190372,18105,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758191372,16098,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758192373,18840,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758193373,14963,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758194373,13842,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758195373,15484,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758196374,13981,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758197374,14053,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758198374,14691,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758199375,14652,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758200375,14318,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758201376,1977,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758202377,2720,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758203377,1373,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758204378,0,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758205379,876,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758206379,251,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758207380,0,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758208381,498,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758209381,0,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758210382,125,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758211382,125,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758212383,12700,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758213383,18856,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758214383,14778,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758215383,15770,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758216384,14590,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758217384,14069,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758218384,15041,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758219385,14551,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758220385,14470,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758221385,14800,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758222385,14634,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758223386,20975,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758224386,14891,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758225386,14993,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758226387,14020,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758227387,14199,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758228387,15338,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758229387,14837,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758230388,14805,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758231388,14356,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758232388,15355,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758233388,21580,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758234389,14786,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758235389,14203,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758236389,13901,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758237390,14101,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758238390,14553,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758239390,15700,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758240390,14810,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758241391,14489,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758242391,15023,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758243391,18193,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758244391,13752,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758245391,14121,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758246392,16028,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758247392,14469,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758248392,14534,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
