timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597758302404,5372,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758303405,66749,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758304405,64312,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758305406,23144,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758306407,9637,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758307407,20275,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758308407,48611,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758309408,53324,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758310408,40399,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758311409,4850,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758312410,3620,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758313410,3889,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758314411,24905,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758315411,27023,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758316411,20921,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758317412,20446,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758318412,21960,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758319413,8614,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758320413,0,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758321414,250,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758322415,2767,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758323415,3634,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758324416,375,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758325417,752,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758326418,626,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758327419,1125,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758328420,125,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758329421,251,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758330421,13065,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1597758331422,25313,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
