timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597758751504,660,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758752505,49190,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758753505,53007,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758754506,41707,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758755506,32503,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758756506,17552,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758757507,30665,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758758507,32958,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758759508,24320,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758760509,28927,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758761509,17610,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758762510,17676,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758763511,125,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758764512,374,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758765512,17142,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758766512,17364,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758767513,16625,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758768513,17753,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758769513,18604,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758770513,17058,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758771514,17349,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758772514,25221,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758773514,19148,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758774515,23886,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758775515,17142,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758776515,17202,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758777516,17380,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758778516,17967,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758779516,16892,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758780517,17654,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758781517,17574,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758782517,20152,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758783518,16830,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758784518,6939,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758785518,17786,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758786519,8301,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758787519,14956,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758788520,17026,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758789520,16870,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758790520,17910,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758791521,17146,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758792521,20051,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758793521,18170,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758794521,18081,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758795522,16851,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758796522,17472,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758797522,18215,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758798523,17450,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758799523,17926,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758800523,16770,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758801524,18504,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758802524,26208,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758803525,18316,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758804525,16729,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758805525,18034,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758806526,16889,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758807526,17293,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758808526,17258,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758809527,17559,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
1597758810527,16097,Python CPU,,,,,true,,0,0,0,0,null,0,0,0
